,Ссылка,Комнаты,Цена,Цена за метр,Метро,Время до метро(мин),Площадь(м2),Максимальный этаж,Этаж,Тип строения,Тип жилья
129,https://krasnogorsk.cian.ru/sale/flat/301861883/,1,12349261,250137,Пятницкое шоссе,6,49.37,14,11,Квартира,Новостройка
130,https://krasnogorsk.cian.ru/sale/flat/301861878/,2,14822455,265778,Пятницкое шоссе,6,55.77,14,6,Квартира,Новостройка
131,https://www.cian.ru/sale/flat/301861788/,3,35000000,486111,Белорусская,2,72,6,4,Квартира,Вторичка
132,https://lyubertsy.cian.ru/sale/flat/301860962/,1,7500000,207756,Некрасовка,7,36.1,19,7,Квартира,Вторичка
133,https://www.cian.ru/sale/flat/301860935/,1,8900000,236702,Перерва,14,37.6,16,1,Квартира,Вторичка
134,https://www.cian.ru/sale/flat/301860770/,1,16000000,423280,Белорусская,11,37.8,8,4,Квартира,Вторичка
135,https://kotelniki.cian.ru/sale/flat/301860715/,1,9700000,194000,Котельники,13,50,17,11,Квартира,Вторичка
136,https://www.cian.ru/sale/flat/301860679/,2,11000000,192982,Южная,10,57,17,10,Квартира,Вторичка
137,https://www.cian.ru/sale/flat/301860624/,1,20000000,555556,Воробьёвы горы,14,36,9,2,Квартира,Вторичка
138,https://www.cian.ru/sale/flat/301860616/,3,46000000,479167,Калужская,8,96,24,24,Квартира,Вторичка
139,https://krasnogorsk.cian.ru/sale/flat/301860584/,1,6750000,198529,Опалиха,19,34,7,1,Квартира,Вторичка
140,https://www.cian.ru/sale/flat/301860582/,3,19000000,301587,Юго-Западная,9,63,9,2,Квартира,Вторичка
141,https://www.cian.ru/sale/flat/301860569/,1,26994864,441814,Коломенская,15,61.1,23,2,Квартира,Новостройка
142,https://www.cian.ru/sale/flat/301860556/,4,108737200,754072,Автозаводская,4,144.2,6,6,Квартира,Новостройка
143,https://www.cian.ru/sale/flat/301860553/,5,82847730,510775,Технопарк,5,162.2,23,20,Квартира,Новостройка
144,https://www.cian.ru/sale/flat/301860503/,2,35253875,446252,Преображенская площадь,5,79,17,2,Квартира,Новостройка
145,https://www.cian.ru/sale/flat/301860497/,3,30704000,380000,Октябрьское поле,26,80.8,25,23,Квартира,Новостройка
146,https://krasnogorsk.cian.ru/sale/flat/301860453/,3,21000000,218750,Мякинино,18,96,22,7,Квартира,Вторичка
147,https://www.cian.ru/sale/flat/301860296/,3,27400000,385915,Пролетарская,11,71,13,12,Квартира,Вторичка
148,https://www.cian.ru/sale/flat/301860216/,2,32000000,532446,Фрунзенская,10,60.1,9,4,Квартира,Вторичка
149,https://www.cian.ru/sale/flat/301860135/,3,80000000,615385,Серпуховская,11,130,22,17,Квартира,Вторичка
150,https://lyubertsy.cian.ru/sale/flat/301860123/,3,7950000,132280,Котельники,7,60.1,9,5,Квартира,Вторичка
151,https://lyubertsy.cian.ru/sale/flat/301860104/,2,10300000,176976,Некрасовка,7,58.2,17,7,Квартира,Вторичка
